lambda|psi_deg|delta_deg|n|k|thickness|material
1730.0|2.4678919689022476|359.16326139201664|1.465413|0.0|50|SiO2
1735.0|2.4678373202051835|359.1660969659888|1.465408|0.0|50|SiO2
1740.0|2.4677818720930413|359.16903898165424|1.465402|0.0|50|SiO2
1745.0|2.467726910427794|359.1719659843158|1.465396|0.0|50|SiO2
1750.0|2.4676724297063144|359.17487808151577|1.46539|0.0|50|SiO2
1755.0|2.4676196796866954|359.17765541081826|1.465385|0.0|50|SiO2
1760.0|2.4675661375732414|359.180538330163|1.465379|0.0|50|SiO2
1765.0|2.467513060405932|359.183406659583|1.465373|0.0|50|SiO2
1770.0|2.4674616771319835|359.1861414716043|1.465368|0.0|50|SiO2
1775.0|2.46740950741071|359.18898124147904|1.465362|0.0|50|SiO2
1780.0|2.4673590077128846|359.19168831497507|1.465357|0.0|50|SiO2
1785.0|2.4673077254062377|359.1944999276686|1.465351|0.0|50|SiO2
1790.0|2.467258089751714|359.1971796555138|1.465346|0.0|50|SiO2
1795.0|2.4672088756288364|359.1998460074572|1.465341|0.0|50|SiO2
1800.0|2.4671588847542174|359.20261627481364|1.465335|0.0|50|SiO2
1805.0|2.46711050641441|359.20525585633186|1.46533|0.0|50|SiO2
1810.0|2.467062535843037|359.2078823436536|1.465325|0.0|50|SiO2
1815.0|2.4670149685929954|359.2104958285868|1.46532|0.0|50|SiO2
1820.0|2.466967800276792|359.21309640215225|1.465315|0.0|50|SiO2
1825.0|2.466921026565524|359.2156841545898|1.46531|0.0|50|SiO2
1830.0|2.4668746431880337|359.2182591753666|1.465305|0.0|50|SiO2
1835.0|2.4668286459299305|359.2208215531834|1.4653|0.0|50|SiO2
1840.0|2.4667830306327407|359.22337137598237|1.465295|0.0|50|SiO2
1845.0|2.4667377931929892|359.22590873095317|1.46529|0.0|50|SiO2
1850.0|2.4666929295613915|359.22843370454115|1.465285|0.0|50|SiO2
1855.0|2.4666484357419542|359.2309463824533|1.46528|0.0|50|SiO2
1860.0|2.466604307791181|359.2334468496655|1.465275|0.0|50|SiO2
1865.0|2.466561654246381|359.23582178916894|1.465271|0.0|50|SiO2
1870.0|2.4665182405016717|359.23829836937233|1.465266|0.0|50|SiO2
1875.0|2.466475181148151|359.24076298815396|1.465261|0.0|50|SiO2
1880.0|2.4664335673053404|359.2431031693032|1.465257|0.0|50|SiO2
1885.0|2.4663911997871635|359.2455443893147|1.465252|0.0|50|SiO2
1890.0|2.4663502590051865|359.2478618878732|1.465248|0.0|50|SiO2
1895.0|2.466308568917073|359.25028002687594|1.465243|0.0|50|SiO2
1900.0|2.4662682871543287|359.25257515271625|1.465239|0.0|50|SiO2
1905.0|2.466227260459304|359.2549705231224|1.465234|0.0|50|SiO2
1910.0|2.4661876240332257|359.2572435808859|1.46523|0.0|50|SiO2
1915.0|2.4661472470514774|359.2596164898582|1.465225|0.0|50|SiO2
1920.0|2.4661082426277168|359.26186777905366|1.465221|0.0|50|SiO2
1925.0|2.4660695466055533|359.2641084287183|1.465217|0.0|50|SiO2
1930.0|2.466030116607766|359.2664483437024|1.465212|0.0|50|SiO2
1935.0|2.4659920332574803|359.26866766341345|1.465208|0.0|50|SiO2
1940.0|2.4659542488882686|359.27087655828666|1.465204|0.0|50|SiO2
1945.0|2.465916760452272|359.2730750982805|1.4652|0.0|50|SiO2
1950.0|2.465879564939863|359.27526335276787|1.465196|0.0|50|SiO2
1955.0|2.4658426593790987|359.2774413905413|1.465192|0.0|50|SiO2
1960.0|2.4658050330097923|359.27971753754576|1.465187|0.0|50|SiO2
1965.0|2.4657687036764533|359.2818750876251|1.465183|0.0|50|SiO2
1970.0|2.4657326555614323|359.28402262511565|1.465179|0.0|50|SiO2
1975.0|2.4656968858383856|359.28616021653545|1.465175|0.0|50|SiO2
1980.0|2.4656613917159227|359.28828792784896|1.465171|0.0|50|SiO2
1985.0|2.4656261704371065|359.2904058244725|1.465167|0.0|50|SiO2
1990.0|2.4655921971147916|359.2924072461747|1.465164|0.0|50|SiO2
1995.0|2.465557508518286|359.29450595891194|1.46516|0.0|50|SiO2
2000.0|2.4655230847322174|359.2965950488403|1.465156|0.0|50|SiO2
2005.0|2.4654889231321775|359.2986745792415|1.465152|0.0|50|SiO2
2009.9999999999998|2.4654550211257726|359.30074461287495|1.465148|0.0|50|SiO2
2015.0000000000002|2.465422330007544|359.3026997325427|1.465145|0.0|50|SiO2
2020.0|2.4653889348431752|359.30475120468185|1.465141|0.0|50|SiO2
2025.0|2.465355791716963|359.3067933641478|1.465137|0.0|50|SiO2
2029.9999999999998|2.4653228981597293|359.3088262716638|1.465133|0.0|50|SiO2
2035.0000000000002|2.4652911870274967|359.31074548463675|1.46513|0.0|50|SiO2
2040.0|2.465258780760045|359.31276030992603|1.465126|0.0|50|SiO2
2045.0|2.4652275430853847|359.3146620403337|1.465123|0.0|50|SiO2
2050.0|2.465195614713608|359.3166590161096|1.465119|0.0|50|SiO2
2055.0|2.4651639240677246|359.3186470340576|1.465115|0.0|50|SiO2
2060.0|2.4651333816979326|359.3205228457066|1.465112|0.0|50|SiO2
2065.0|2.465102155240835|359.32249335719087|1.465108|0.0|50|SiO2
2070.0|2.4650720638244414|359.3243522468086|1.465105|0.0|50|SiO2
2075.0|2.465042192477652|359.32620287417427|1.465102|0.0|50|SiO2
2080.0|2.4650116436263176|359.32814766024586|1.465098|0.0|50|SiO2
2085.0|2.4649822104113284|359.3299816894084|1.465095|0.0|50|SiO2
2090.0|2.464952104046739|359.3319095197229|1.465091|0.0|50|SiO2
2095.0|2.464923100645522|359.33372716288625|1.465088|0.0|50|SiO2
2100.0|2.4648943070057556|359.3355368060318|1.465085|0.0|50|SiO2
2105.0|2.464864846716|359.33743971789727|1.465081|0.0|50|SiO2
2110.0|2.46483647080418|359.3392332859659|1.465078|0.0|50|SiO2
