wl,n
2.90360,1.59742
2.90698,1.59734
2.91036,1.59726
2.91375,1.59718
2.91715,1.59710
2.92056,1.59702
2.92398,1.59693
2.92740,1.59685
2.93083,1.59677
2.93427,1.59669
2.93772,1.59660
2.94118,1.59652
2.94464,1.59644
2.94811,1.59635
2.95159,1.59627
2.95508,1.59619
2.95858,1.59610
2.96209,1.59602
2.96560,1.59593
2.96912,1.59584
2.97265,1.59576
2.97619,1.59567
2.97974,1.59558
2.98329,1.59550
2.98686,1.59541
2.99043,1.59532
2.99401,1.59523
2.99760,1.59515
3.00120,1.59506
3.00481,1.59497
3.00842,1.59488
3.01205,1.59479
3.01568,1.59470
3.01932,1.59461
3.02297,1.59452
3.02663,1.59443
3.03030,1.59433
3.03398,1.59424
3.03767,1.59415
3.04136,1.59406
3.04507,1.59397
3.04878,1.59387
3.05250,1.59378
3.05623,1.59368
3.05998,1.59359
3.06373,1.59350
3.06748,1.59340
3.07125,1.59331
3.07503,1.59321
3.07882,1.59311
3.08261,1.59302
3.08642,1.59292
3.09023,1.59282
3.09406,1.59272
3.09789,1.59263
3.10174,1.59253
3.10559,1.59243
3.10945,1.59233
3.11333,1.59223
3.11721,1.59213
3.12110,1.59203
3.12500,1.59193
3.12891,1.59183
3.13283,1.59173
3.13676,1.59162
3.14070,1.59152
3.14465,1.59142
3.14861,1.59132
3.15259,1.59121
3.15657,1.59111
3.16056,1.59100
3.16456,1.59090
3.16857,1.59079
3.17259,1.59069
3.17662,1.59058
3.18066,1.59047
3.18471,1.59037
3.18878,1.59026
3.19285,1.59015
3.19693,1.59004
3.20102,1.58993
3.20513,1.58983
3.20924,1.58972
3.21337,1.58961
3.21750,1.58949
3.22165,1.58938
3.22581,1.58927
3.22997,1.58916
3.23415,1.58905
3.23834,1.58893
3.24254,1.58882
3.24675,1.58871
3.25098,1.58859
3.25521,1.58848
3.25945,1.58836
3.26371,1.58825
3.26797,1.58813
3.27225,1.58801
3.27654,1.58790
3.28084,1.58778
3.28515,1.58766
3.28947,1.58754
3.29381,1.58742
3.29815,1.58730
3.30251,1.58718
3.30688,1.58706
3.31126,1.58694
3.31565,1.58682
3.32005,1.58670
3.32447,1.58657
3.32889,1.58645
3.33333,1.58633
3.33778,1.58620
3.34225,1.58608
3.34672,1.58595
3.35121,1.58583
3.35570,1.58570
3.36022,1.58557
3.36474,1.58545
3.36927,1.58532
3.37382,1.58519
3.37838,1.58506
3.38295,1.58493
3.38753,1.58480
3.39213,1.58467
3.39674,1.58454
3.40136,1.58440
3.40599,1.58427
3.41064,1.58414
3.41530,1.58400
3.41997,1.58387
3.42466,1.58374
3.42936,1.58360
3.43407,1.58346
3.43879,1.58333
3.44353,1.58319
3.44828,1.58305
3.45304,1.58291
3.45781,1.58277
3.46260,1.58263
3.46741,1.58249
3.47222,1.58235
3.47705,1.58221
3.48189,1.58207
3.48675,1.58192
3.49162,1.58178
3.49650,1.58164
3.50140,1.58149
3.50631,1.58135
3.51124,1.58120
3.51617,1.58105
3.52113,1.58090
3.52609,1.58076
3.53107,1.58061
3.53607,1.58046
3.54108,1.58031
3.54610,1.58016
3.55114,1.58000
3.55619,1.57985
3.56125,1.57970
3.56633,1.57955
3.57143,1.57939
3.57654,1.57924
3.58166,1.57908
3.58680,1.57892
3.59195,1.57877
3.59712,1.57861
3.60231,1.57845
3.60750,1.57829
3.61272,1.57813
3.61795,1.57797
3.62319,1.57781
3.62845,1.57764
3.63372,1.57748
3.63901,1.57731
3.64431,1.57715
3.64964,1.57698
3.65497,1.57682
3.66032,1.57665
3.66569,1.57648
3.67107,1.57631
3.67647,1.57614
3.68189,1.57597
3.68732,1.57580
3.69276,1.57563
3.69822,1.57546
3.70370,1.57528
3.70920,1.57511
3.71471,1.57493
3.72024,1.57476
3.72578,1.57458
3.73134,1.57440
3.73692,1.57422
3.74251,1.57404
3.74813,1.57386
3.75375,1.57368
3.75940,1.57350
3.76506,1.57331
3.77074,1.57313
3.77644,1.57294
3.78215,1.57276
3.78788,1.57257
3.79363,1.57238
3.79939,1.57219
3.80518,1.57200
3.81098,1.57181
3.81679,1.57162
3.82263,1.57143
3.82848,1.57123
3.83436,1.57104
3.84025,1.57084
3.84615,1.57065
3.85208,1.57045
3.85802,1.57025
3.86399,1.57005
3.86997,1.56985
3.87597,1.56965
3.88199,1.56945
3.88802,1.56924
3.89408,1.56904
3.90016,1.56883
3.90625,1.56863
3.91236,1.56842
3.91850,1.56821
3.92465,1.56800
3.93082,1.56779
3.93701,1.56757
3.94322,1.56736
3.94945,1.56715
3.95570,1.56693
3.96197,1.56671
3.96825,1.56650
3.97456,1.56628
3.98089,1.56606
3.98724,1.56584
3.99361,1.56561
4.00000,1.56539
4.00641,1.56516
4.01284,1.56494
4.01929,1.56471
4.02576,1.56448
4.03226,1.56425
4.03877,1.56402
4.04531,1.56379
4.05186,1.56356
4.05844,1.56332
4.06504,1.56309
4.07166,1.56285
4.07830,1.56261
4.08497,1.56237
4.09165,1.56213
4.09836,1.56189
4.10509,1.56164
4.11184,1.56140
4.11862,1.56115
4.12541,1.56090
4.13223,1.56066
4.13907,1.56041
4.14594,1.56015
4.15282,1.55990
4.15973,1.55965
4.16667,1.55939
4.17362,1.55913
4.18060,1.55887
4.18760,1.55861
4.19463,1.55835
4.20168,1.55809
4.20875,1.55782
4.21585,1.55756
4.22297,1.55729
4.23012,1.55702
4.23729,1.55675
4.24448,1.55648
4.25170,1.55620
4.25894,1.55593
4.26621,1.55565
4.27350,1.55537
4.28082,1.55509
4.28816,1.55481
4.29553,1.55453
4.30293,1.55424
4.31034,1.55395
4.31779,1.55367
4.32526,1.55338
4.33276,1.55308
4.34028,1.55279
4.34783,1.55250
4.35540,1.55220
4.36300,1.55190
4.37063,1.55160
4.37828,1.55130
4.38596,1.55099
4.39367,1.55069
4.40141,1.55038
4.40917,1.55007
4.41696,1.54976
4.42478,1.54945
4.43262,1.54913
4.44050,1.54881
4.44840,1.54850
4.45633,1.54817
4.46429,1.54785
4.47227,1.54753
4.48029,1.54720
4.48833,1.54687
4.49640,1.54654
4.50450,1.54621
4.51264,1.54587
4.52080,1.54554
4.52899,1.54520
4.53721,1.54486
4.54545,1.54451
4.55373,1.54417
4.56204,1.54382
4.57038,1.54347
4.57875,1.54312
4.58716,1.54277
4.59559,1.54241
4.60405,1.54205
4.61255,1.54169
4.62107,1.54133
4.62963,1.54096
4.63822,1.54060
4.64684,1.54023
4.65549,1.53985
4.66418,1.53948
4.67290,1.53910
4.68165,1.53872
4.69043,1.53834
4.69925,1.53796
4.70810,1.53757
4.71698,1.53718
4.72590,1.53679
4.73485,1.53639
4.74383,1.53600
4.75285,1.53560
4.76190,1.53519
4.77099,1.53479
4.78011,1.53438
4.78927,1.53397
4.79846,1.53356
4.80769,1.53314
4.81696,1.53272
4.82625,1.53230
4.83559,1.53188
4.84496,1.53145
4.85437,1.53102
4.86381,1.53059
4.87329,1.53015
4.88281,1.52971
4.89237,1.52927
4.90196,1.52883
4.91159,1.52838
4.92126,1.52793
4.93097,1.52747
